Date,Hacienda,SCWA Diversion,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Millview,Lake Mendocino,Calpella
Nov-01,-169057.1177,-167537.4107,-211.0131167,-18085.53663,-11137.22774,-10309.85411,-3327.99799,-101.4917144,-98.19462238
Dec-01,-156854.0428,-155475.7124,-180.7384182,-12858.20292,-6814.127957,-6026.677229,-2895.61051,-114.9973074,-108.4790757
Jan-02,-156457.2609,-155078.9305,-1832.066812,-16981.65973,-7126.787034,-6335.348696,-2899.275139,-109.385119,-102.8668872
Feb-02,-161773.0833,-160438.3033,-1883.514416,-22762.69438,-12380.0321,-11520.5433,-3010.036479,-98.36451081,-94.83191227
Mar-02,-168327.8258,-167121.5998,-2001.71842,-24999.30432,-14504.98323,-13754.3073,-3089.573596,-88.84536461,-85.65463044
Apr-02,-218642.4821,-217390.3489,-2606.591793,-29546.18515,-16715.59357,-15888.21994,-4178.484237,-134.1872509,-126.2613232
May-02,-264783.3472,-263441.4846,-2412.199135,-36360.99081,-18567.97739,-17483.97336,-5592.764174,-195.376863,-164.8967479
Jun-02,-332679.186,-331011.2449,-3929.144823,-47670.40644,-23593.02967,-22094.10713,-7298.27826,-322.2552704,-304.0780966
Jul-02,-364464.4133,-362596.6606,-4533.00835,-55418.71237,-29334.28874,-27744.79591,-8248.801679,-235.154725,-195.2400252
Aug-02,-357364.6097,-355702.4516,-4326.366617,-54730.75657,-30264.33554,-28495.36211,-7983.605382,-235.154725,-195.2400252
Sep-02,-325797.1437,-324129.2027,-4229.746185,-49634.64514,-25526.4054,-24027.48286,-7249.056688,-256.6447635,-229.4894084
Oct-02,-280244.0192,-278936.0645,-3541.686569,-38329.10825,-17820.00053,-16735.99649,-5929.801252,-182.298117,-164.8967479
Nov-02,-187969.8943,-186759.3441,-2066.582715,-21041.4333,-9336.743681,-8509.370047,-3775.928744,-98.08691073,-94.78981876
Dec-02,-167049.395,-165878.8488,-1770.148172,-21099.55065,-11022.52188,-10248.84882,-3212.495328,-114.9973074,-108.4790757
Jan-03,-165290.6379,-164100.9739,-1679.115158,-23614.86854,-13826.22745,-13049.91499,-2853.614841,-98.21778809,-95.02705392
Feb-03,-171108.3554,-170175.5727,-1815.217638,-24054.88054,-13803.64634,-12931.82589,-2853.350071,-179.3733953,-172.1567816
Mar-03,-177792.1016,-176977.0836,-2024.537967,-24869.94174,-14025.70054,-13225.01638,-2900.227527,-90.07756654,-86.88683237
Apr-03,-178776.5171,-177881.1335,-2094.535971,-25297.43007,-13993.72564,-13218.02717,-2913.236107,-91.84725435,-88.50978479
May-03,-231348.8412,-230419.2798,-3082.120501,-33467.70272,-13249.91095,-12151.45311,-4133.063901,-196.7489085,-166.2687934
Jun-03,-333904.6047,-332904.4407,-4026.497324,-41338.39076,-14866.76558,-13367.84304,-365.3401714,-256.6447635,-229.4894084
Jul-03,-368889.5249,-367993.9802,-4508.907743,-49925.53123,-21432.26186,-19694.96683,-342.5611167,-249.7492982,-195.2400252
Aug-03,-346419.481,-345524.4244,-4274.774971,-44913.53998,-18907.47844,-17245.27415,-335.2318582,-232.6507723,-206.1424401
Sep-03,-326178.4322,-325253.036,-3989.180276,-41459.66643,-16886.57623,-15247.27745,-338.8326862,-269.9982272,-242.8428721
Oct-03,-282691.4222,-281884.1462,-3588.757556,-31528.65659,-9713.439912,-8614.982073,-332.788772,-200.2253702,-169.7452551
Nov-03,-159078.8581,-158277.2828,-2083.810612,-22754.38915,-11052.78819,-10161.47887,-365.96077,-75.56801327,-68.83250713
Dec-03,-196207.3923,-195455.661,-1823.593915,-21804.98089,-11367.87723,-10497.51579,-362.7063856,-109.385119,-102.8668872
Jan-04,-169747.2895,-168995.5583,-155.6860802,-20345.52092,-14035.65168,-13165.29023,-3089.075391,-109.385119,-102.8668872
Feb-04,-168211.8331,-167408.2584,-165.0942215,-20497.0165,-13819.89756,-12897.85344,-3041.946184,-122.9281562,-115.9603912
Mar-04,-227668.439,-226849.6993,-512.8827455,-26315.20115,-15265.43057,-14162.45798,-3595.66265,-136.065665,-128.3954125
Apr-04,-256465.8951,-255651.6088,-530.0384362,-27611.82441,-15555.21269,-14415.47434,-4388.994714,-134.1872509,-126.2613232
May-04,-307750.8537,-306862.9548,-2311.691146,-36802.93783,-15567.76534,-14469.3075,-3536.410631,-200.2253702,-169.7452551
Jun-04,-393483.5452,-392621.485,-3883.713839,-43089.30798,-15164.20374,-13795.50075,-346.4062534,-197.7551743,-179.5780005
