,obsname,well_id,num_meas,min,max,mean,std,median,grid_top_elev,grid_bot_elev,layer,row,col
136,HO_136,016N012W04M001M,7,215.25610827246095,216.81058827246093,216.03857341531807,0.5616707897823181,216.23146827246094,220.52000427246094,-7.579995632171631,0,49,54
137,HO_137,017N012W28N002M,7,230.12895749316405,231.03421349316406,230.51431177887835,0.30488645141322246,230.51910149316407,236.99000549316406,147.69000244140625,0,39,54
138,HO_138,016N012W08A001M,3,193.70092922070313,193.92648122070312,193.81065722070312,0.0921820556941505,193.80456122070314,214.47000122070312,-55.529998779296875,1,51,53
139,HO_139,016N012W17B001M,3,239.12066589648438,240.40996989648437,239.74347389648437,0.5272619096881498,239.69978589648437,243.64999389648438,-26.350006103515625,1,57,51
140,HO_140,016N012W17B002M,3,239.72416989648437,241.07138589648437,240.35205789648435,0.5537861758621292,240.26061789648438,243.64999389648438,-26.350006103515625,1,57,51
141,HO_141,017N012W32C001M,7,240.61780989648437,244.91853789648437,243.03356761077006,1.6394313041670165,243.67190589648436,245.89999389648438,166.5,0,42,50
142,HO_142,017N012W29E001M,1,216.19648061035156,216.19648061035156,216.19648061035156,0.0,216.19648061035156,244.36000061035156,180.36000061035156,2,38,50
143,HO_143,017N012W20E001M,3,242.19725233789063,242.71846033789063,242.48071633789064,0.21522419878814783,242.52643633789063,244.33999633789062,174.33999633789062,1,33,49
144,HO_144,016N012W08N002M,7,185.96206949316405,186.85818149316407,186.43102606459266,0.34646764406790337,186.50156549316407,219.74000549316406,-50.25999450683594,1,55,49
145,HO_145,016N012W08N001M,7,204.28359749316405,206.34404549316406,205.22325235030692,0.7900020783009637,205.20104549316406,219.74000549316406,-50.25999450683594,0,55,49
146,HO_146,017N012W18J001M,6,251.92928244140626,257.76010644140626,255.04281444140625,2.6477471211488472,255.28513044140624,257.69000244140625,187.69000244140625,2,28,48
147,HO_147,017N012W30H001M,8,256.52457220703127,257.86874020703124,257.29304920703123,0.5033918434291489,257.4785962070313,261.95001220703125,186.95001220703125,2,38,48
148,HO_148,016N012W07A002M,2,225.55611267578126,225.77861667578125,225.66736467578124,0.11125199999999325,225.66736467578124,229.92999267578125,-32.970008850097656,0,52,48
